,artist,spotify_artist,id,href,popularity,image
0,Sean Paul,Sean Paul,3Isy6kedDrgPYoTS1dazA9,https://api.spotify.com/v1/artists/3Isy6kedDrgPYoTS1dazA9,83,https://i.scdn.co/image/e15025ccdfab6e62b9c2b391e4e5f44bac36a3db
1,Chris Brown,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,https://api.spotify.com/v1/artists/7bXgB6jMjp9ATFy66eO08Z,91,https://i.scdn.co/image/e153d6448b17ce97b2a79da70d64b89230c67053
2,Nickelback,Nickelback,6deZN1bslXzeGvOLaLMOIF,https://api.spotify.com/v1/artists/6deZN1bslXzeGvOLaLMOIF,79,https://i.scdn.co/image/3cab7a705d1fefebd1f7c8bf03f27587ae697ead
3,Ne-Yo,YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b,https://api.spotify.com/v1/artists/7wlFDEWiM5OoIAt8RSli8b,86,https://i.scdn.co/image/97bb629b95a57ce4b12d82959c3557244bc669c2
4,The Fray,The Fray,0zOcE3mg9nS6l3yxt1Y0bK,https://api.spotify.com/v1/artists/0zOcE3mg9nS6l3yxt1Y0bK,73,https://i.scdn.co/image/7ef82e06e47b33e302ca2503f3decfbf9c7f2fff
5,Rihanna,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H,90,https://i.scdn.co/image/1fc2f537d678d701d7d143a8fd4f0c2f29fbde22
6,The Pussycat Dolls,The Pussycat Dolls,6wPhSqRtPu1UhRCDX5yaDJ,https://api.spotify.com/v1/artists/6wPhSqRtPu1UhRCDX5yaDJ,74,https://i.scdn.co/image/15793cac497b87ee337ed77a85b7896c23ae2b15
7,The All-American Rejects,The All-American Rejects,3vAaWhdBR38Q02ohXqaNHT,https://api.spotify.com/v1/artists/3vAaWhdBR38Q02ohXqaNHT,71,https://i.scdn.co/image/62c79a93a1e6c795ce335996ccde270b6488f90c
8,Rascal Flatts,Rascal Flatts,0a1gHP0HAqALbEyxaD5Ngn,https://api.spotify.com/v1/artists/0a1gHP0HAqALbEyxaD5Ngn,74,https://i.scdn.co/image/0e1a0ac507aba697f5562bd772ca1d411cbb31dc
9,Justin Timberlake,Justin Timberlake,31TPClRtHm23RisEBtV3X7,https://api.spotify.com/v1/artists/31TPClRtHm23RisEBtV3X7,83,https://i.scdn.co/image/5b73ff32952c810c98bd5fbe8860ca99414ad6aa
