,artist,genre
0,Sean Paul,dance pop
1,Sean Paul,dancehall
2,Sean Paul,pop
3,Sean Paul,pop rap
0,Chris Brown,dance pop
1,Chris Brown,pop
2,Chris Brown,pop rap
3,Chris Brown,r&b
4,Chris Brown,rap
0,Nickelback,alternative metal
1,Nickelback,canadian rock
2,Nickelback,nu metal
3,Nickelback,post-grunge
0,Ne-Yo,baton rouge rap
1,Ne-Yo,trap
0,The Fray,modern rock
1,The Fray,neo mellow
2,The Fray,piano rock
3,The Fray,pop
4,The Fray,pop rock
0,Rihanna,barbadian pop
1,Rihanna,dance pop
2,Rihanna,pop
3,Rihanna,post-teen pop
4,Rihanna,r&b
5,Rihanna,urban contemporary
0,The Pussycat Dolls,dance pop
1,The Pussycat Dolls,girl group
2,The Pussycat Dolls,pop
3,The Pussycat Dolls,pop rap
4,The Pussycat Dolls,post-teen pop
5,The Pussycat Dolls,r&b
6,The Pussycat Dolls,urban contemporary
0,The All-American Rejects,modern rock
1,The All-American Rejects,neo mellow
2,The All-American Rejects,pop punk
3,The All-American Rejects,pop rock
4,The All-American Rejects,post-grunge
0,Rascal Flatts,contemporary country
1,Rascal Flatts,country
2,Rascal Flatts,country road
0,Justin Timberlake,dance pop
1,Justin Timberlake,pop
0,Beyonce,dance pop
1,Beyonce,pop
2,Beyonce,post-teen pop
3,Beyonce,r&b
0,Mary J. Blige,dance pop
1,Mary J. Blige,hip pop
2,Mary J. Blige,neo soul
3,Mary J. Blige,pop
4,Mary J. Blige,r&b
5,Mary J. Blige,urban contemporary
0,Daniel Powter,canadian pop
1,Daniel Powter,neo mellow
2,Daniel Powter,pop rock
0,James Blunt,neo mellow
1,James Blunt,pop
2,James Blunt,pop rock
0,Kelly Clarkson,dance pop
1,Kelly Clarkson,neo mellow
2,Kelly Clarkson,pop
3,Kelly Clarkson,pop rock
4,Kelly Clarkson,post-teen pop
5,Kelly Clarkson,talent show
6,Kelly Clarkson,viral pop
0,Natasha Bedingfield,dance pop
1,Natasha Bedingfield,europop
2,Natasha Bedingfield,neo mellow
3,Natasha Bedingfield,pop
4,Natasha Bedingfield,pop rock
5,Natasha Bedingfield,post-teen pop
0,Fall Out Boy,emo
1,Fall Out Boy,modern rock
2,Fall Out Boy,pop punk
0,T.I.,atl hip hop
1,T.I.,dance pop
2,T.I.,dirty south rap
3,T.I.,gangster rap
4,T.I.,hip hop
5,T.I.,pop rap
6,T.I.,rap
7,T.I.,southern hip hop
8,T.I.,trap
0,Yung Joc,atl hip hop
1,Yung Joc,crunk
2,Yung Joc,dirty south rap
3,Yung Joc,gangster rap
4,Yung Joc,pop rap
5,Yung Joc,rap
6,Yung Joc,southern hip hop
7,Yung Joc,trap
0,Nelly Furtado,canadian latin
1,Nelly Furtado,canadian pop
2,Nelly Furtado,dance pop
3,Nelly Furtado,pop
4,Nelly Furtado,pop rap
5,Nelly Furtado,pop rock
0,Gnarls Barkley,atl hip hop
1,Gnarls Barkley,neo soul
0,Chamillionaire,dirty south rap
1,Chamillionaire,gangster rap
2,Chamillionaire,pop rap
3,Chamillionaire,rap
4,Chamillionaire,southern hip hop
5,Chamillionaire,trap
0,Fergie,dance pop
1,Fergie,pop
2,Fergie,post-teen pop
3,Fergie,urban contemporary
0,Cassie,dance pop
1,Cassie,deep pop r&b
2,Cassie,hip pop
3,Cassie,pop rap
4,Cassie,r&b
5,Cassie,urban contemporary
0,The Black Eyed Peas,
0,Red Hot Chili Peppers,alternative rock
1,Red Hot Chili Peppers,funk metal
2,Red Hot Chili Peppers,funk rock
3,Red Hot Chili Peppers,permanent wave
4,Red Hot Chili Peppers,post-grunge
5,Red Hot Chili Peppers,rock
0,Shakira,colombian pop
1,Shakira,dance pop
2,Shakira,latin
3,Shakira,latin pop
4,Shakira,pop
0,Nelly,dance pop
1,Nelly,hip hop
2,Nelly,pop
3,Nelly,pop rap
4,Nelly,rap
5,Nelly,southern hip hop
6,Nelly,st louis rap
7,Nelly,urban contemporary
0,Panic! At The Disco,baroque pop
1,Panic! At The Disco,emo
2,Panic! At The Disco,modern rock
3,Panic! At The Disco,pop punk
0,Mariah Carey,dance pop
1,Mariah Carey,pop
2,Mariah Carey,r&b
3,Mariah Carey,urban contemporary
0,Dem Franchize Boyz,atl hip hop
1,Dem Franchize Boyz,crunk
2,Dem Franchize Boyz,dirty south rap
3,Dem Franchize Boyz,gangster rap
4,Dem Franchize Boyz,pop rap
5,Dem Franchize Boyz,rap
6,Dem Franchize Boyz,southern hip hop
7,Dem Franchize Boyz,trap
